0.2,10,29,2515,28.328,390,376.536,11.5955
0.2,20,29,2521,25.236,538,518.917,13.0979
0.2,30,29,2520,24.37,860,825.668,18.0607
0.2,40,29,2515,23.676,811,772.568,15.4206
0.2,50,29,2515,23.386,1045,999.806,17.2914
0.5,10,29,1336,201.35,7754,7733.34,19.8494
0.5,20,29,-1,-371.944,847,531.696,12.3289
0.5,30,29,1022,24.728,705,671.065,28.668
0.5,40,29,1021,24.126,1067,1023.8,32.82
0.5,50,29,1020,23.596,1451,1401.44,34.3904
2,10,17,1110,405.622,8078,8060.99,16.0967
2,20,17,614,186.66,17271,17244.6,24.8544
2,30,17,-1,137.122,9242,8766.26,170.828
2,40,17,-1,-38.832,12867,12421.7,136.842
2,50,17,-1,-81.936,5026,4658.04,62.8248
5,10,17,1084,456.068,4381,4338.89,40.7134
5,20,17,576,224.86,9584,9560.85,21.8665
5,30,17,-1,-43.658,2145,1834.35,5.67252
5,40,17,-1,6.15,8557,8211.03,42.0945
5,50,17,-1,-46.814,1053,745.837,4.50232
10,10,17,1073,470.894,2784,2738.74,44.2172
10,20,17,564,239.684,5002,4980.97,19.9255
10,30,17,-1,32.794,6045,5720.26,22.3896
10,40,17,-1,-15.804,4675,4366.96,6.65256
10,50,17,-1,-11.32,7115,6797.61,11.8787
