2,30,5,458,128.876,25277,25275.9,0.076616
2,30,6,454,124.562,25134,25133.1,0.078658
2,30,7,460,127.274,26857,26856.5,0.082761
2,30,8,462,122.382,25791,25790.5,0.078481
2,30,9,459,123.908,25993,25992.1,0.085201
2,30,10,458,130.418,27302,27300.9,0.081436
2,30,11,462,131.98,27079,27078.3,0.086885
2,30,12,458,126.398,24821,24819.8,0.078466
2,30,13,459,126.11,25295,25294.2,0.080199
2,30,14,459,124.41,26815,26814.2,0.112371
2,30,15,462,124.068,25795,25794.1,0.081715
2,30,16,447,118.978,25517,25515.9,0.079827
2,30,17,461,125.722,28227,28226.2,0.083854
2,30,18,466,138.344,28092,28091,0.088001
2,30,19,458,126.876,26694,26693.2,0.088694
2,30,20,456,123.804,27777,27776.1,0.077182
2,30,21,457,124.38,34457,34455.8,0.094621
0.2,10,1,2516,28.396,289,287.922,0.04021
0.2,10,2,2514,28.016,280,279.691,0.039938
0.2,10,3,2514,28.524,289,288.409,0.040859
1,10,1,1152,312.762,17101,17100.6,0.0553
0.2,50,1,2511,21.688,1849,1846.47,0.059427
1,10,2,1151,312.618,16530,16529.3,0.056718
1,10,3,1150,313.636,16013,16012.6,0.054486
2,10,1,1100,386.644,10693,10693.1,0.046042
2,10,2,1097,392.264,9913,9913.03,0.044908
2,10,3,1082,385.416,10190,10189.7,0.043563
10,10,1,1070,465.94,2581,2581.1,0.033002
10,10,2,1067,461.378,2492,2492.11,0.033053
10,10,3,1066,468.066,2907,2907.45,0.03712
0.2,50,2,2511,21.688,1500,1497.91,0.045367
0.2,50,3,2511,21.692,1726,1723.79,0.052218
1,50,1,526,23.238,5659,5656.9,0.071782
1,50,2,526,23.312,6277,6274.33,0.072911
1,50,3,526,23.302,6056,6054.26,0.075285
2,50,1,312,47.948,21602,21600.2,0.129138
2,50,2,318,54.848,22946,22943.7,0.122332
2,50,3,320,52.232,22607,22604.9,0.131214
10,50,1,248,106.992,16166,16166.1,0.052064
