1,20,20,914,290.48,33183,33181.6,0.135947
1,10,27,1764,794.42,23781,23780.4,0.115762
1,10,28,1718,758.014,23469,23468.3,0.11391
1,10,29,1734,775.624,22207,22206.3,0.110428
1,10,30,1721,759.422,21920,21918.7,0.112444
2,40,25,407,112.406,32425,32423.8,0.115798
2,40,26,419,115.966,33809,33807.1,0.129517
2,40,27,419,117.246,32745,32743.7,0.158512
2,40,28,405,109.166,32335,32333.4,0.120189
2,40,29,416,113.9,33706,33704.2,0.140143
2,40,30,401,104.25,31264,31262.5,0.122295
10,10,3,1451,741.342,2630,2629.79,0.048019
10,10,1,1439,721.26,2691,2691.38,0.049919
0.2,10,1,2516,28.53,289,288.586,0.041674
0.2,10,2,2513,28.298,282,281.374,0.039882
0.2,10,3,2516,28.606,286,285.478,0.039914
1,10,1,1714,741.052,22939,22938,0.134673
1,10,2,1733,772.974,23701,23700.3,0.139545
1,10,3,1726,763.4,23789,23788.1,0.136647
